Title,Date,Source
[현대과학의 8대 과제]인공두뇌,2000.08.30,"인간의 말동무가 됨은 물론, 날씨와 기분에 맞춰 입을 옷을 추천해 준다. 인공지능 자동차는 승차한 후 목적지만 말하면 최단 거리를 찾아 안전하게 이동시켜 준다. 건강을 책임지는 인공두뇌 의사가 있어 아파도..."
[문화의 현장을 지키는 사람들] 무대의상 전문가 김경수씨,2001.01.09,"고려,옷을 추천하기도 한다．국립극장 소속단체의 공연에서는 자신이 직접 대본을 읽고 가장 적합한 옷을 찾아내낸다．리허설때는 공연장을 찾아가 옷 색깔이 조명이나 무대색상 등과 어울리는지도 확인한다．..."
[부업 성공사례] 패션코디 컨설턴트 함수진씨,2001.06.26,"고객들에게 어울리는 옷을 추천하고 그 옷에맞는 액세서리나 구두, 옷에 어울리는 장소나 연출법 등을 종합적으로 코디해 주는 이미지 컨설턴트의 역할을 수행해야 한다. ""너무 오랫동안 제 사업을 했더니 좀 쉬고 싶은..."
후드코트 입은 당신 겨울 멋쟁이…,2003.12.22,"신원 베스띠벨리의 박성희 디자인실장은 ""상의에 모자가 연결돼 있는 후드코트 와 후드점퍼는 눈에 어울리는 매력적인 옷""이라고 추천했다. 바람과 눈을 가려주면서도 포근함을 유지해주는 도시적 패션이라는 것.특히 긴..."
[이달의 명품] (4월) '결혼준비 베스트 브랜드',2004.04.02,신세계백화점은 신혼부부의 마음을 제품에 잘 반영한 이 제품을 신혼부부용 속 옷 명품으로 추천했다. 비비안은 원단을 직접 만든다. 그래서 어떤 제품이든 내놓을 수 있는 장점이 있다. 고객들의 체형에 잘 맞도록 사전...
손대는 사업마다 성공 ‘카멜레온’ CEO,2004.04.05,기저귀를 뗄 무렵 DM과 e메일로 산뜻한 옷을 추천받게 됩니다. 돌잔치 때는 파티복을 빌려 드립니다. CRM서비스 마케팅 노하우를 육아과정에 도입시키는 겁니다. ” 최사장은 최근 의류사업부문을 확장하고 경기...
[Turning Point in my life]소사장제 도입 기회로 활용,2004.05.31,"손님이 어떤 색상의 옷을 사갔는지 확인한 후 새로운 옷을 추천하기 위함이었다. 그렇게 모아둔 고객 카드가... 그는 새 옷 안주머니 속에 `멋있게 옷을 입고, 좋은 하루 보내길 바란다`는 내용의 짧은 엽서를 매번 넣었다...."
미래의 집엔 컴퓨터가 없어진다?,2004.08.03,모니터 대신 거울·천장 등 디스플레이장치로 활용 1초안에 방을 사무실로‥첨단장치가 옷 추천까지 폭 넓게 활용땐 부작용 우려‥사생활보호 장치 필요 ■ 컴퓨터가 사라진다=엠에스는 애초 홈 전시관의 현관문 밖...
새 한류 주인공은 '한글'?,2005.01.23,주인이 '가장 멋지고 예쁜 옷'이라며 적극 추천한 티셔츠에는 '정지 보행금지'라는 한글이 큼지막하게 쓰여져 있었던 것이다. (다음 카페 '엽기혹은진실' ) 물론 대부분의 한국인이 이 셔츠를 보면 다소 유치한 디자인과...
[나의 쇼핑몰 창업성공기 - 14] 남성복 전문몰/아이옴므,2005.02.06,"고객에게 개별적으로 전화해 고객이 좋아할 만한 스타일의 옷을 추천하거나 신상품 정보를 주기도 한다. 최... 시작한 것처럼 자신은 옷 장사로 시작해 제2의 정주영 같은 인물이 되고 싶다""고 말하는 야무진 청년이다. /"
